filename,workflow_id,expression,pose,moment,source
istockphoto-1496615764-612x612.jpg,,cheese,front,,reference
istockphoto-1496805665-612x612.jpg,,,side,,reference
istockphoto-171374614-612x612.jpg,,,side,,reference
istockphoto-171382647-612x612.jpg,,hype,front,,reference
istockphoto-184147789-612x612.jpg,,,side,,reference
istockphoto-1861115468-612x612.jpg,,chill,angle,,reference
istockphoto-1972543408-612x612.jpg,,cheese,front,,reference
istockphoto-2099403180-612x612.jpg,,cheese,front,,reference
istockphoto-2135643049-612x612.jpg,,cheese,front,,reference
istockphoto-2149680141-612x612.jpg,,hype,angle,,reference
istockphoto-2153821250-612x612.jpg,,cheese,front,,reference
istockphoto-2154861420-612x612.jpg,,cheese,front,,reference
istockphoto-2191215207-612x612.jpg,,,side,,reference
istockphoto-466807030-612x612.jpg,,,side,,reference
istockphoto-475060896-612x612.jpg,,hype,angle,,reference
istockphoto-478218337-612x612.jpg,,,side,,reference
istockphoto-480374174-612x612.jpg,,chill,front,,reference
istockphoto-485559134-612x612.jpg,,hype,front,,reference
istockphoto-488027923-612x612.jpg,,goofy,front,,reference
istockphoto-492529287-612x612.jpg,,cheese,front,,reference
istockphoto-534880122-612x612.jpg,,,side,,reference
istockphoto-57519936-612x612.jpg,,goofy,front,,reference
istockphoto-638756792-612x612.jpg,,,side,,reference
istockphoto-79339027-612x612.jpg,,,side,,reference
istockphoto-839214266-612x612.jpg,,chill,front,,reference
istockphoto-866657418-612x612.jpg,,cheese,front,,reference
istockphoto-913957438-612x612.jpg,,,side,,reference
istockphoto-937244460-612x612.jpg,,chill,angle,,reference
istockphoto-957256814-612x612.jpg,,chill,side,,reference
photo-1499996860823-5214fcc65f8f.avif,,chill,front,,reference
photo-1502823403499-6ccfcf4fb453.avif,,chill,side,,reference
photo-1506794778202-cad84cf45f1d.avif,,chill,front,,reference
photo-1506863530036-1efeddceb993.avif,,chill,front,,reference
photo-1521119989659-a83eee488004.avif,,chill,angle,,reference
photo-1526510747491-58f928ec870f.avif,,chill,angle,,reference
photo-1529626455594-4ff0802cfb7e.avif,,chill,angle,,reference
photo-1531123414780-f74242c2b052.avif,,cheese,angle,,reference
photo-1534528741775-53994a69daeb.avif,,chill,front,,reference
photo-1536896407451-6e3dd976edd1.avif,,chill,front,,reference
photo-1542327897-d73f4005b533.avif,,chill,front,,reference
photo-1557053910-d9eadeed1c58.avif,,chill,angle,,reference
photo-1587397845856-e6cf49176c70.avif,,chill,front,,reference
photo-1589156191108-c762ff4b96ab.avif,,chill,angle,,reference
photo-1596075780750-81249df16d19.avif,,chill,front,,reference
photo-1596479042555-9265a7fa7983.avif,,cheese,front,,reference
photo-1598966739654-5e9a252d8c32.avif,,cheese,front,,reference
photo-1611403119860-57c4937ef987.avif,,cheese,angle,,reference
photo-1611695434369-a8f5d76ceb7b.avif,,cheese,front,,reference
photo-1614204424926-196a80bf0be8.avif,,chill,angle,,reference
photo-1632765854612-9b02b6ec2b15.avif,,chill,angle,,reference
photo-1634595705439-93ddc4909c9e.avif,,cheese,front,,reference
photo-1685041552051-13de9e56228c.avif,,goofy,angle,,reference
photo-1699013703317-21c7e1513e68.avif,,cheese,front,,reference
premium_photo-1661574727340-837b56dec3ab.avif,,cheese,front,,reference
premium_photo-1664369473013-56df7a859afa.avif,,cheese,front,,reference
premium_photo-1664369473447-64172945caa0.avif,,cheese,front,,reference
premium_photo-1695339147092-edc26293467c.avif,,goofy,angle,,reference
premium_photo-1695339147350-d9433ebb552f.avif,,goofy,front,,reference
premium_photo-1705563088259-1aec4eaae59a.avif,,cheese,front,,reference
premium_photo-1761413375884-ff68277a0c9e.avif,,goofy,front,,reference
premium_photo-1761413376037-6640faa4698a.avif,,goofy,front,,reference
premium_photo-1763265288816-f4e04af4c780.avif,,hype,front,,reference
premium_photo-1763734966818-f1b029097015.avif,,cheese,front,,reference
ref_001.jpg,,goofy,front,,reference
ref_002.jpg,,goofy,front,,reference
ref_003.jpg,,goofy,front,,reference
ref_005.jpg,,hype,front,,reference
ref_006.jpg,,cheese,front,,reference
test_3_0008.jpg,test_3,cut,front,,operational
test_3_0009.jpg,test_3,cut,front,,operational
test_3_0015.jpg,test_3,cut,angle,,operational
test_3_0016.jpg,test_3,cut,front,,operational
test_3_0017.jpg,test_3,cut,front,,operational
test_3_0018.jpg,test_3,cut,front,,operational
test_3_0019.jpg,test_3,edge,angle,,operational
test_3_0020.jpg,test_3,cut,side,,operational
test_3_0021.jpg,test_3,cut,front,,operational
test_3_0022.jpg,test_3,cut,front,,operational
test_3_0023.jpg,test_3,cut,front,,operational
test_3_0024.jpg,test_3,cut,front,,operational
test_3_0025.jpg,test_3,cut,front,,operational
test_3_0028.jpg,test_3,edge,front,,operational
test_3_0035.jpg,test_3,cut,front,,operational
test_3_0045.jpg,test_3,cut,front,,operational
test_3_0046.jpg,test_3,cut,front,,operational
test_3_0047.jpg,test_3,cut,front,,operational
test_3_0057.jpg,test_3,cut,front,,operational
test_3_0058.jpg,test_3,cut,front,,operational
test_3_0059.jpg,test_3,cut,front,,operational
test_3_0060.jpg,test_3,cut,front,,operational
test_3_0061.jpg,test_3,cut,front,,operational
test_3_0062.jpg,test_3,cut,front,,operational
test_3_0063.jpg,test_3,cut,front,,operational
test_3_0064.jpg,test_3,cut,front,,operational
test_3_0065.jpg,test_3,cut,front,,operational
test_3_0066.jpg,test_3,cut,front,,operational
test_3_0067.jpg,test_3,cut,front,,operational
test_3_0068.jpg,test_3,cut,front,,operational
test_3_0069.jpg,test_3,cut,front,,operational
test_3_0070.jpg,test_3,cut,front,,operational
test_3_0071.jpg,test_3,cut,angle,,operational
test_3_0072.jpg,test_3,cut,angle,,operational
test_3_0073.jpg,test_3,cut,angle,,operational
test_3_0089.jpg,test_3,edge,front,,operational
test_3_0090.jpg,test_3,cut,front,,operational
test_3_0091.jpg,test_3,cut,front,,operational
test_3_0092.jpg,test_3,cut,front,,operational
test_3_0093.jpg,test_3,cut,front,,operational
test_3_0094.jpg,test_3,cut,front,,operational
test_3_0095.jpg,test_3,cut,angle,,operational
test_3_0096.jpg,test_3,cut,angle,,operational
test_3_0097.jpg,test_3,cut,angle,,operational
test_3_0098.jpg,test_3,cut,angle,,operational
test_3_0099.jpg,test_3,cut,angle,,operational
test_3_0100.jpg,test_3,cut,angle,,operational
test_3_0101.jpg,test_3,cut,angle,,operational
test_3_0102.jpg,test_3,cut,angle,,operational
test_3_0103.jpg,test_3,cut,angle,,operational
test_3_0104.jpg,test_3,cut,angle,,operational
test_3_0105.jpg,test_3,cut,angle,,operational
test_3_0110.jpg,test_3,edge,angle,,operational
test_3_0112.jpg,test_3,cut,angle,,operational
test_3_0113.jpg,test_3,cut,angle,,operational
test_3_0114.jpg,test_3,cut,angle,,operational
test_3_0115.jpg,test_3,cut,angle,,operational
test_3_0116.jpg,test_3,edge,front,,operational
test_3_0117.jpg,test_3,cut,front,,operational
test_3_0118.jpg,test_3,cut,front,,operational
test_3_0119.jpg,test_3,cut,front,,operational
test_3_0120.jpg,test_3,cut,front,,operational
test_3_0121.jpg,test_3,cut,front,,operational
test_3_0122.jpg,test_3,cut,front,,operational
test_3_0123.jpg,test_3,cut,front,,operational
test_3_0124.jpg,test_3,cut,front,,operational
test_3_0125.jpg,test_3,cut,front,,operational
test_3_0126.jpg,test_3,cut,front,,operational
test_3_0127.jpg,test_3,cut,front,,operational
test_3_0128.jpg,test_3,cut,front,,operational
test_3_0129.jpg,test_3,cut,front,,operational
test_3_0130.jpg,test_3,cut,front,,operational
test_3_0131.jpg,test_3,cut,front,,operational
test_3_0132.jpg,test_3,cut,front,,operational
test_3_0133.jpg,test_3,cut,front,,operational
test_3_0134.jpg,test_3,cut,front,,operational
test_3_0137.jpg,test_3,edge,angle,,operational
test_3_0139.jpg,test_3,edge,angle,,operational
test_3_0140.jpg,test_3,cut,angle,,operational
test_3_0141.jpg,test_3,cut,angle,,operational
test_3_0142.jpg,test_3,cut,front,,operational
test_3_0143.jpg,test_3,cut,front,,operational
test_3_0144.jpg,test_3,cut,angle,,operational
test_3_0145.jpg,test_3,cut,side,,operational
test_3_0146.jpg,test_3,cut,side,,operational
test_3_0147.jpg,test_3,cut,side,,operational
test_3_0148.jpg,test_3,cut,side,,operational
test_3_0149.jpg,test_3,cut,side,,operational
test_3_0150.jpg,test_3,cut,side,,operational
test_3_0151.jpg,test_3,cut,side,,operational
test_3_0152.jpg,test_3,cut,side,,operational
test_3_0153.jpg,test_3,cut,side,,operational
test_3_0154.jpg,test_3,cut,side,,operational
test_3_0156.jpg,test_3,cut,angle,,operational
test_3_0157.jpg,test_3,cut,angle,,operational
test_3_0158.jpg,test_3,cut,angle,,operational
test_3_0159.jpg,test_3,cut,angle,,operational
test_3_0160.jpg,test_3,cut,front,,operational
test_3_0161.jpg,test_3,cut,front,,operational
test_3_0162.jpg,test_3,cut,front,,operational
test_3_0163.jpg,test_3,cut,front,,operational
test_3_0164.jpg,test_3,cut,front,,operational
test_3_0165.jpg,test_3,cut,front,,operational
test_3_0166.jpg,test_3,cut,front,,operational
test_3_0167.jpg,test_3,cut,front,,operational
test_3_0168.jpg,test_3,cut,front,,operational
test_3_0169.jpg,test_3,edge,front,,operational
test_3_0170.jpg,test_3,chill,front,,operational
test_3_0171.jpg,test_3,cut,front,,operational
test_3_0172.jpg,test_3,cut,angle,,operational
test_3_0173.jpg,test_3,cut,front,,operational
test_3_0174.jpg,test_3,cut,front,,operational
test_3_0175.jpg,test_3,cut,front,,operational
test_3_0176.jpg,test_3,cut,front,,operational
test_3_0177.jpg,test_3,cut,front,,operational
test_3_0178.jpg,test_3,cut,front,,operational
test_3_0179.jpg,test_3,cut,front,,operational
test_3_0180.jpg,test_3,cut,front,,operational
test_3_0181.jpg,test_3,cut,front,,operational
test_3_0182.jpg,test_3,cut,front,,operational
test_3_0183.jpg,test_3,cut,front,,operational
test_3_0186.jpg,test_3,edge,front,,operational
test_3_0187.jpg,test_3,hype,front,,operational
test_3_0188.jpg,test_3,cheese,angle,,operational
test_3_0189.jpg,test_3,cheese,angle,,operational
test_3_0190.jpg,test_3,cheese,angle,,operational
test_3_0191.jpg,test_3,cheese,angle,,operational
test_3_0192.jpg,test_3,hype,angle,,operational
test_3_0193.jpg,test_3,hype,angle,,operational
test_3_0194.jpg,test_3,hype,side,,operational
test_3_0195.jpg,test_3,hype,side,,operational
test_3_0196.jpg,test_3,hype,side,,operational
test_3_0197.jpg,test_3,hype,side,,operational
test_3_0198.jpg,test_3,hype,side,,operational
test_3_0199.jpg,test_3,hype,side,,operational
test_3_0200.jpg,test_3,hype,side,,operational
test_3_0201.jpg,test_3,hype,angle,,operational
test_3_0202.jpg,test_3,cut,angle,,operational
test_3_0203.jpg,test_3,cut,angle,,operational
test_3_0204.jpg,test_3,hype,angle,,operational
test_3_0205.jpg,test_3,cut,angle,,operational
test_3_0206.jpg,test_3,cut,angle,,operational
test_3_0207.jpg,test_3,cut,front,,operational
test_3_0208.jpg,test_3,cut,front,,operational
test_3_0209.jpg,test_3,cut,front,,operational
test_3_0210.jpg,test_3,cut,angle,,operational
test_3_0211.jpg,test_3,cut,angle,,operational
test_3_0212.jpg,test_3,cut,angle,,operational
test_3_0213.jpg,test_3,cut,angle,,operational
test_3_0214.jpg,test_3,cut,angle,,operational
test_2_0033.jpg,test_2,cut,front,,operational
test_2_0032.jpg,test_2,cut,front,,operational
test_2_0110.jpg,test_2,goofy,angle,,operational
test_2_0133.jpg,test_2,cheese,angle,,operational
test_2_0143.jpg,test_2,cut,front,,operational
test_2_0000.jpg,test_2,cut,front,,operational
test_2_0001.jpg,test_2,cut,front,,operational
test_2_0027.jpg,test_2,cheese,front,,operational
test_2_0028.jpg,test_2,cut,front,,operational
test_2_0029.jpg,test_2,cut,front,,operational
test_2_0030.jpg,test_2,cut,front,,operational
test_2_0060.jpg,test_2,cheese,front,,operational
test_2_0043.jpg,test_2,cheese,front,,operational
dual_2_0014.jpg,dual_2,hype,front,sync,operational
test_3_0012.jpg,test_3,cut,front,,operational
test_3_0013.jpg,test_3,cut,front,,operational
test_3_0014.jpg,test_3,cut,front,,operational
test_3_0033.jpg,test_3,cut,front,,operational
test_3_0034.jpg,test_3,cut,front,,operational
test_4_0000.jpg,test_4,cut,,,operational
test_4_0001.jpg,test_4,cut,,,operational
test_4_0002.jpg,test_4,cut,,,operational
test_4_0003.jpg,test_4,cut,,,operational
test_4_0136.jpg,test_4,edge,front,,operational
test_4_0137.jpg,test_4,cut,,,operational
test_4_0151.jpg,test_4,cut,,,operational
test_4_0156.jpg,test_4,cut,,,operational
test_4_0157.jpg,test_4,cut,,,operational
test_4_0158.jpg,test_4,cut,,,operational
test_4_0159.jpg,test_4,cut,,,operational
test_4_0160.jpg,test_4,cut,,,operational
test_4_0161.jpg,test_4,cut,,,operational
test_4_0162.jpg,test_4,cut,,,operational
test_4_0163.jpg,test_4,cut,,,operational
test_4_0164.jpg,test_4,cut,,,operational
test_4_0165.jpg,test_4,cut,,,operational
test_4_0180.jpg,test_4,cut,,,operational
test_4_0193.jpg,test_4,cut,,,operational
test_4_0198.jpg,test_4,cut,,,operational
test_4_0200.jpg,test_4,cut,,,operational
test_4_0018.jpg,test_4,edge,front,,operational
test_5_0000.jpg,test_5,cut,,,operational
test_5_0004.jpg,test_5,cut,,,operational
test_5_0009.jpg,test_5,cut,,,operational
cap_1_0157.jpg,cap_1,hype,front,sync,operational
cap_1_0194.jpg,cap_1,cut,,,operational
cap_1_0023.jpg,cap_1,cheese,front,sync,operational
test_5_0020.jpg,test_5,cut,,,operational
test_5_0024.jpg,test_5,cut,,,operational
test_5_0007.jpg,test_5,cut,,,operational
test_5_0011.jpg,test_5,cut,,,operational
cap_1_0158.jpg,cap_1,chill,front,sync,operational
